x=   44 y= 128 step= -3 B3  s=0.77
x=  126 y=  66 step=  7 E5  s=0.81
x=  163 y=  72 step=  6 D5  s=0.82
x=  212 y=  59 step=  8 F5  s=0.89
x=  313 y=  83 step=  4 B4  s=0.85
x=  330 y=  66 step=  7 E5  s=0.88
x=  333 y=  53 step=  9 G5  s=0.91
x=  345 y=  54 step=  9 G5  s=0.83
x=  348 y=  68 step=  6 D5  s=0.85
x=  350 y=  88 step=  3 A4  s=0.81
x=  401 y=  83 step=  4 B4  s=0.79
x=  418 y=  65 step=  7 E5  s=0.89
x=  436 y=  87 step=  3 A4  s=0.82
x=  536 y=  66 step=  7 E5  s=0.87
x=  599 y=  65 step=  7 E5  s=0.85
x=  661 y=  65 step=  7 E5  s=0.83
x=  723 y=  60 step=  8 F5  s=0.83
x=  835 y=  56 step=  8 F5  s=0.88
x=  898 y=  55 step=  8 F5  s=0.87
x=  960 y=  55 step=  8 F5  s=0.91
overlay: analysis/p102_s03_heads.png spacing=12.2 lines=[58, 71, 83, 95, 107]
