x=   44 y= 166 step= -3 B3  s=0.77
x=  126 y= 125 step=  3 A4  s=0.80
x=  251 y= 125 step=  3 A4  s=0.80
x=  375 y= 129 step=  3 A4  s=0.81
x=  406 y= 151 step= -1 D4  s=0.88
x=  409 y= 137 step=  1 F4  s=0.87
x=  427 y= 109 step=  6 D5  s=0.80
x=  527 y= 126 step=  3 A4  s=0.80
x=  602 y= 129 step=  3 A4  s=0.80
x=  634 y= 137 step=  1 F4  s=0.88
x=  635 y= 149 step=  0 E4  s=0.88
x=  653 y= 108 step=  6 D5  s=0.80
x=  752 y= 125 step=  3 A4  s=0.80
x=  876 y= 125 step=  3 A4  s=0.79
x=  964 y= 125 step=  3 A4  s=0.82
x= 1016 y= 108 step=  6 D5  s=0.82
overlay: analysis/p112_s00_heads.png spacing=12.5 lines=[96, 108, 121, 133, 146]
