x=   44 y= 148 step= -3 B3  s=0.80
x=  115 y=  78 step=  8 F5  s=0.88
x=  164 y=  78 step=  8 F5  s=0.88
x=  214 y=  79 step=  8 F5  s=0.87
x=  218 y= 113 step=  3 A4  s=0.85
x=  224 y= 101 step=  4 B4  s=0.85
x=  236 y= 116 step=  2 G4  s=0.85
x=  252 y=  86 step=  7 E5  s=0.86
x=  302 y=  78 step=  8 F5  s=0.85
x=  313 y=  96 step=  5 C5  s=0.92
x=  315 y= 108 step=  3 A4  s=0.90
x=  340 y=  66 step= 10 A5  s=0.88
x=  440 y=  79 step=  8 F5  s=0.89
x=  491 y=  79 step=  8 F5  s=0.89
x=  541 y=  79 step=  8 F5  s=0.88
x=  546 y= 101 step=  4 B4  s=0.82
x=  558 y= 116 step=  2 G4  s=0.87
x=  577 y=  87 step=  7 E5  s=0.85
x=  740 y= 105 step=  4 B4  s=0.85
x=  790 y=  93 step=  6 D5  s=0.88
x=  791 y= 113 step=  3 A4  s=0.85
x=  791 y= 127 step=  0 E4  s=0.91
x=  803 y= 129 step=  0 E4  s=0.91
x=  815 y= 131 step=  0 E4  s=0.88
x=  828 y= 100 step=  5 C5  s=0.87
x=  865 y=  93 step=  6 D5  s=0.87
x=  866 y= 127 step=  0 E4  s=0.87
x=  890 y= 131 step=  0 E4  s=0.86
x=  902 y= 101 step=  4 B4  s=0.83
x=  940 y=  94 step=  6 D5  s=0.88
x=  940 y= 114 step=  2 G4  s=0.83
x=  940 y= 127 step=  0 E4  s=0.88
x=  952 y= 130 step=  0 E4  s=0.93
x=  953 y= 118 step=  2 G4  s=0.84
x=  965 y= 102 step=  4 B4  s=0.84
x=  990 y= 107 step=  4 B4  s=0.88
x= 1027 y= 107 step=  4 B4  s=0.92
overlay: analysis/p071_s01_heads.png spacing=12.5 lines=[79, 91, 104, 116, 129]
