x=   43 y= 124 step= -3 B3  s=0.77
x=  127 y=  42 step= 10 A5  s=0.88
x=  176 y=  37 step= 11 B5  s=0.84
x=  226 y=  42 step= 10 A5  s=0.90
x=  277 y=  49 step=  9 G5  s=0.82
x=  324 y=  56 step=  8 F5  s=0.85
x=  376 y=  51 step=  9 G5  s=0.86
x=  476 y=  51 step=  9 G5  s=0.85
x=  525 y=  56 step=  8 F5  s=0.84
x=  625 y=  49 step=  9 G5  s=0.82
x=  673 y=  56 step=  8 F5  s=0.86
x=  775 y=  30 step= 12 C6  s=0.90
x=  825 y=  38 step= 11 B5  s=0.82
x=  875 y=  31 step= 12 C6  s=0.93
x=  925 y=  38 step= 11 B5  s=0.85
x=  975 y=  30 step= 12 C6  s=0.90
overlay: analysis/p041_s03_heads.png spacing=12.5 lines=[55, 68, 80, 92, 105]
